"Laikotarpis","Rodiklis","Matavimo vienetai","Reikšmė"
"2012M11","Mėnesinis mirusiųjų skaičius","asmenys","3357"
"2012M10","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2979692"
"2012M10","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2613"
"2012M10","Mėnesinis mirusiųjų skaičius","asmenys","3468"
"2012M09","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2982462"
"2012M09","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2618"
"2012M09","Mėnesinis mirusiųjų skaičius","asmenys","3050"
"2012M08","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2985427"
"2012M08","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2788"
"2012M08","Mėnesinis mirusiųjų skaičius","asmenys","3111"
"2012M07","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2987523"
"2012M07","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2777"
"2012M07","Mėnesinis mirusiųjų skaičius","asmenys","3276"
"2012M06","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2989732"
"2012M06","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2610"
"2012M06","Mėnesinis mirusiųjų skaičius","asmenys","3248"
"2012M05","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2991842"
"2012M05","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2648"
"2012M05","Mėnesinis mirusiųjų skaičius","asmenys","3406"
"2012M04","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2994632"
"2012M04","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2426"
"2012M04","Mėnesinis mirusiųjų skaičius","asmenys","3501"
"2012M03","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2997467"
"2012M03","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2394"
"2012M03","Mėnesinis mirusiųjų skaičius","asmenys","3460"
"2012M02","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3000248"
"2012M02","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2260"
"2012M02","Mėnesinis mirusiųjų skaičius","asmenys","3600"
"2012M01","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3003641"
"2012M01","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2426"
"2012M01","Mėnesinis mirusiųjų skaičius","asmenys","3646"
"2011M12","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3006055"
"2011M12","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2195"
"2011M12","Mėnesinis mirusiųjų skaičius","asmenys","3562"
"2011M11","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3008764"
"2011M11","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2256"
"2011M11","Mėnesinis mirusiųjų skaičius","asmenys","3350"
"2011M10","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3012306"
"2011M10","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2383"
"2011M10","Mėnesinis mirusiųjų skaičius","asmenys","3430"
"2011M09","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3016393"
"2011M09","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2513"
"2011M09","Mėnesinis mirusiųjų skaičius","asmenys","3113"
"2011M08","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3021113"
"2011M08","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2620"
"2011M08","Mėnesinis mirusiųjų skaičius","asmenys","3056"
"2011M07","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3025027"
"2011M07","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2835"
"2011M07","Mėnesinis mirusiųjų skaičius","asmenys","3242"
"2011M06","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3028704"
"2011M06","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2686"
"2011M06","Mėnesinis mirusiųjų skaičius","asmenys","3221"
"2011M05","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3033191"
